node,attach,length_cm,diameter_mm,spur,broken,parent_dist
2600,171,6,,,,65
2601,171,36.5,,,,65.5
2602,37,0,,,,4
2603,37,0,,,,7
2604,37,25,,,,10
2605,37,0,,,,12.5
2606,39,0,,,,2
2607,39,0,,,,9
2608,39,0,,,,11
2609,39,0,,,,12
2610,39,10,,,,11
2611,175,0,,,,4
2612,175,42,,,,9
2613,175,56,,,,15.5
2614,175,18,,,,15.5
2615,175,24,,y,,33
2616,175,25,,,,32
2617,175,4.5,,y,,38
2618,175,19,,,y,40
2619,175,5,,y,,43.5
2620,175,16.5,,y,,46
2621,175,24,,y,,49
2622,175,18,,,,51
2623,175,0,,,,54
2624,175,32,,,,56
2625,175,22,,,,64
2626,175,5,,y,,63.5
2627,175,26,,,,64
2628,175,15,,,,66
2629,175,31,,,,66
2630,175,48,,,,66
2631,175,0,,,,34
2632,174,3,,y,,17
2633,174,3,,y,,18
2634,174,16,,,,21
2635,174,30,,,,25
2636,174,16.5,,y,,28
2637,174,22,,,,31.5
2638,174,9,,,,44.5
2639,174,50,,,,44.5
2640,169,3,,y,,2.5
2641,169,25,,,,6
2642,169,16,,y,,9.5
2643,169,27,,,,15.5
2644,169,0,,,,18.5
2645,169,4,,y,,30.5
2646,169,34,,,,33.5
2647,169,44.5,,,,34.5
2648,169,4,,y,,35
2649,169,15.5,,y,,39
2650,169,0,,,,42
2651,169,25,,,,46.5
2652,169,43,,,,53
2653,169,18.5,,,,55.5
2654,169,24.5,,,,64
2655,169,9,,,y,64
2656,169,36.5,,,,64
2657,156,0,,,,4
2658,156,0,,,,7
2659,156,12.5,,,,11
2660,156,14,,y,,14
2661,156,34,,,,18
2662,156,0,,,,21
2663,156,34,,,,25
2664,156,2.5,,y,,31
2665,156,23,,,,47.5
2666,156,2.5,,y,,49.5
2667,156,11.5,,,y,52
2668,156,26,,,,52
2669,149,24,,,,4
2670,149,35,,,,15
2671,149,57,,,,26
2672,149,14.5,,,,28
2673,149,3.5,,y,,31
2674,149,2,,,y,35
2675,149,23,,,,38.5
2676,149,36.5,,,,38.5
2677,150,10,,,,3
2678,150,8,,,y,10
2679,150,26,,,,13.5
2680,150,48,,,,23
2681,159,2.5,,y,,0.5
2682,159,18.5,,,,2
2683,159,18,,,,5.5
2684,159,2,,,,9
2685,159,22,,,,13.5
2686,159,27.5,,,,13.5
2687,155,1.5,,y,,3
2688,155,22.5,,,,7.5
2689,155,41,,,,12
2690,155,32,,,,16
2691,155,46.5,,,,26
2692,155,24,,,,41
2693,155,25.5,,,,44.5
2694,155,23,,,,47.5
2695,155,40,,,,52
2696,155,29,,,,64
2697,155,5.5,,y,,67
2698,155,11.5,,,,71
2699,155,10.5,,,,89.5
2700,155,30,,,,89.5
2701,206,44,,,,20
2702,206,18,,,,23
2703,206,51,,,,25
2704,206,38,,,,28
2705,206,41.5,,,,38
2706,206,29,,y,,56
2707,206,32,,,,56
2708,130,18,,,,1.5
2709,130,11.3,,,,27
2710,130,2.5,,y,,40
2711,130,6,,y,,40
2712,130,24.5,,y,,42
2713,130,17,,y,,47
2714,130,47,,,,49.5
2715,130,22,,y,,53.5
2716,130,21,,y,,63
2717,130,11.5,,y,,65
2718,130,42,,,y,65
2719,166,0,,,,3
2720,166,0,,,,7
2721,166,0,,,,11.5
2722,166,42,,,,15
2723,166,21.5,,,,18
2724,166,32,,,,30
2725,166,2.5,,y,,31
2726,166,0,,,,31
2727,166,57.5,,,,34
2728,166,17,,,,36.5
2729,166,8,,y,,39.5
2730,166,29,,,,43
2731,166,15,,,,43
2732,166,0,,,,46
2733,166,15,,,,49.5
2734,166,0,,,,52
2735,166,17,,y,,55
2736,166,40,,,,59
2737,166,0,,,,60
2738,166,32,,,,60
2739,166,10,,,,61
2740,110,1.5,,y,,18
2741,110,1,,y,,19
2742,110,32,,,,20
2743,110,1,,y,,22.5
2744,110,35,,,,25.5
2745,110,15,,,,31
2746,110,14,,,,31
2747,183,9.5,,y,,4
2748,183,34.5,,,,7
2749,183,19.5,,,,10.5
2750,183,47.5,,,,14
2751,183,56,,,,16.5
2752,183,32,,,,20
2753,183,23,,,y,36
2754,183,7,,y,,36.5
2755,183,0,,,,37
2756,183,14,,y,,39.5
2757,183,23,,y,,42
2758,183,51,,,,42
2759,216,3,,y,,0.5
2760,216,71,,,,3
2761,216,98,,,,8
2762,216,4.5,,y,,13
2763,216,53.5,,,,16
2764,216,18,,,,20
2765,216,60,,,,23.5
2766,216,1.5,,y,,32
2767,216,18,,y,,41
2768,216,14,,,,41
2769,179,2,,,y,3
2770,179,18,,,,6
2771,179,61,,,,29
2772,179,47,,,,29
2773,179,2,,y,,29.5
2774,179,0,,,,30.5
2775,179,1.5,,y,,33
2776,179,29.5,,,,37
2777,179,2,,y,,40
2778,179,47,,,,47
2779,179,10,,y,,50.5
2780,179,54,,,,54
2781,179,17,,,,60
2782,179,2.5,,y,,61
2783,179,8,,y,,63
2784,179,0,,,,64.5
2785,179,5.5,,y,,68
2786,179,26,,,,70
2787,179,35,,,,70
2788,204,12,,,,1.5
2789,204,11,,y,,5
2790,204,25.5,,,,8
2791,204,39.5,,,,13
2792,204,35.5,,,,17
2793,204,15,,,y,25
2794,204,37,,,,31
2795,204,39,,,y,31
2796,204,22,,,,33.5
2797,204,10,,,,35.5
2798,204,30,,,y,39
2799,204,2,,,y,44.5
2800,204,30,,,y,44.5
2801,204,15.5,,y,,48.5
2802,204,0,,,,57
2803,204,6,,y,,58
2804,204,4,,,y,61
2805,204,25.5,,,,63
2806,204,21.5,,,,66.5
2807,204,0,,,,68.5
2808,204,4,,y,,71
2809,204,2.5,,y,,73.5
2810,204,13,,y,,74.5
2811,204,2.5,,y,,75
2812,204,10.5,,y,,75
2813,204,26,,,y,75
2814,202,27.5,,,,1
2815,202,23,,,,5
2816,202,13,,,y,8
2817,202,38.5,,,,14
2818,202,22,,,,16
2819,202,22.5,,,,19
2820,202,0,,,,27
2821,202,33,,,,27
2822,202,11,,y,,27
2823,202,2,,,y,33
2824,202,11.5,,y,,35
2825,202,11,,,y,38
2826,202,13,,y,,41
2827,202,12,,,,44
2828,202,10,,,,48
2829,202,17,,y,,51
2830,202,16,,,y,53.5
2831,202,0,,,,33
2832,202,42,,,,59.5
2833,202,19,,y,,66.5
2834,202,42.5,,,,66.5
2835,202,13,,y,,67.5
2836,202,8,,y,,69
2837,202,15,,y,,72.5
2838,202,14,,y,,75
2839,202,10.5,,y,,82
2840,202,12,,y,,88
2841,202,14,,,,102
2842,202,23.5,,,,102
2843,177,5.5,,y,,0.5
2844,177,6.5,,y,,2
2845,177,0,,,,6
2846,177,21.5,,,,10
2847,177,34,,,,14
2848,177,36,,,,16.5
2849,177,22,,,,20
2850,177,42,,,,23
2851,177,4.5,,y,,25.5
2852,177,13.5,,y,,28
2853,177,11.5,,,y,31.5
2854,177,4,,y,,34
2855,177,7,,y,,36
2856,177,4,,y,,36
2857,177,5.5,,y,,38.5
2858,177,1.5,,y,,40
2859,177,4,,y,,43
2860,177,17,,y,,45.5
2861,177,15.5,,,,47
2862,177,32,,,,50
2863,177,0,,,,52.5
2864,177,4,,y,,54
2865,177,27,,,,59
2866,177,0,,,,62
2867,177,15,,,,63.5
2868,177,9,,,,66
2869,192,0,,,,5
2870,192,0,,,,8
2871,192,0,,,,12
2872,192,4,,y,,27
2873,192,57,,,,31
2874,192,50,,,,32
2875,192,1,,y,,32
2876,192,2,,,y,33.5
2877,192,3,,y,,36
2878,192,3.5,,y,,39.5
2879,192,6.5,,y,,43.5
2880,192,1,,,y,47
2881,192,10,,y,,51
2882,192,7.5,,y,,54
2883,192,5.5,,y,,60
2884,192,5,,y,,62
2885,192,2.5,,y,,64
2886,192,19,,,y,65.5
2887,192,23.5,,,,66.5
2888,192,11.5,,,,66.5
2889,192,31.5,,,y,72.5
2890,192,10.5,,,,76
2891,192,1.5,,,y,79
2892,192,32.5,,,,82.5
2893,192,10.5,,,y,84.5
2894,192,7,,,y,87
2895,192,4.5,,,,89
2896,192,5,,y,,92
2897,192,21.5,,,,94
2898,192,26,,y,,95.5
2899,192,38,,,,95.5
2900,192,45,,,,95.5
2901,192,0,,,,21
2902,178,3,,y,,3
2903,178,62,,,,6.5
2904,178,18,,y,,10
2905,178,25,,y,,16.5
2906,178,36,,,,22
2907,178,2.5,,y,,32.5
2908,178,37,,,,32.5
2909,178,37,,,,36
2910,178,37,,,,41
2911,178,10,,y,,66
2912,178,2,,,y,66
2913,178,11,,,y,66
2914,194,16.5,,y,,5.5
2915,194,50.5,,,,9.5
2916,194,2,,y,,27.5
2917,194,5,,y,,27.5
2918,194,15,,,,27.5
2919,194,3,,y,,29
2920,194,20.5,,y,,32
2921,194,3,,y,,35
2922,194,7,,y,,38.5
2923,194,3.5,,y,,46
2924,194,10,,,,49
2925,194,27.5,,,,49
2926,85,11,,,,9
2927,85,7,,y,,29
2928,85,23.5,,,,30.5
2929,85,30,,,,30.5
2930,153,3.5,,y,,0.5
2931,153,29.5,,,,4
2932,153,25,,,,9
2933,153,43,,,,14.5
2934,153,27,,,,31
2935,153,49.5,,,,31
2936,208,17.5,,,,5.5
2937,208,48,,,,10
2938,208,2,,y,,22.5
2939,208,16,,,y,32.5
2940,208,7.5,,y,,42
2941,208,14,,y,,44.5
2942,208,16.5,,,,46
2943,208,13,,y,,56
2944,208,27,,,,56
2945,160,2.5,,y,,1
2946,160,1,,y,,6
2947,160,1.5,,,y,8.5
2948,160,6.5,,y,,12
2949,160,6,,y,,15
2950,160,4.5,,,y,27.5
2951,160,1,,y,,30.5
2952,160,0,,,,33.5
2953,160,0,,,,40
2954,160,8,,y,,50.5
2955,160,9,,y,,54
2956,160,29.5,,,,54
2957,162,26.5,,,,2
2958,162,36,,,,6
2959,162,33,,,,26.5
2960,162,13,,,,41
2961,162,39,,,,41
2962,151,16,,,,7.5
2963,151,3,,y,,8
2964,151,34,,,,15.5
2965,151,25.5,,,,20.5
2966,151,30,,,,24.5
2967,151,7.5,,y,,34
2968,151,1,,,y,34
2969,151,16.5,,y,,35
2970,151,13,,y,,56
2971,151,5.5,,y,,67
2972,151,24,,,,67
2973,196,15,,,,4
2974,196,0,,,,8
2975,196,6.5,,y,,12
2976,196,59,,,,17.5
2977,196,9,,y,,21
2978,196,31,,,,24.5
2979,196,20,,,,27
2980,196,26,,,,29.5
2981,196,30,,,,35
2982,196,3,,,,37.5
2983,196,14.5,,,,39.5
2984,196,38,,,,51
2985,196,0,,,,51
2986,196,35,,,y,51
2987,199,16,,,,3.5
2988,199,11,,,y,8
2989,199,15,,,,15.5
2990,199,15,,,y,23
2991,199,1.5,,y,,29
2992,199,48,,,,42
2993,199,2.5,,,y,13
2994,199,62,,,,31.5
2995,199,2,,y,,31.5
2996,199,10,,,,33
2997,199,7,,y,,36
2998,199,20,,,y,40
2999,199,21,,,,43
3000,199,13,,,,47
3001,199,29.5,,,,51.5
3002,199,11,,y,,54.5
3003,199,39,,,,58
3004,199,13.5,,,,61
3005,199,22,,,,63
3006,199,19,,,,67
3007,199,33,,,,68.5
3008,199,39,,,,68.5
3009,199,18,,y,,84
3010,199,23,,y,,87
3011,199,37.5,,,,87
3012,214,59,,,,3
3013,214,39,,,,6
3014,214,51,,,,11
3015,214,2.5,,y,,15
3016,214,6,,y,,28
3017,214,37,,,,38
3018,214,46,,,,45
3019,214,3,,y,,45
3020,214,78,,,,45
3021,214,3,,y,,45
3022,214,34.5,,,,47
3023,214,51,,,,50
3024,214,6,,y,,53
3025,214,28.5,,,,56
3026,214,24.5,,,,59
3027,214,42,,,,62
3028,214,17,,,,64.5
3029,214,28.5,,y,,67.5
3030,214,15,,,y,70
3031,214,4,,y,,77
3032,214,2,,y,,77
3033,214,43,,,,77.5
3034,214,20,,y,,78
3035,214,5,,y,,81
3036,214,17,,y,,84
3037,214,19.5,,,,87
3038,214,22,,,,89.5
3039,214,1,,,,92
3040,214,2,,,y,94
3041,214,0,,,,102
3042,214,12,,,y,102
3043,214,15.5,,y,,118
3044,214,25,,,,118
3045,212,37,,,,0.5
3046,212,25,,y,,4
3047,212,30,,,,7.5
3048,212,3.5,,,y,12.5
3049,212,10,,,y,22
3050,212,71.5,,,,28
3051,212,71,,,,28
3052,212,2,,y,,29
3053,212,38.5,,,,31.5
3054,212,17,,y,,34.5
3055,212,13.5,,y,,35
3056,212,22.5,,,,39
3057,212,23,,,y,42
3058,212,87,,,,46
3059,212,90,,,y,52
3060,212,37,,,,57
3061,212,61,,,y,57.5
3062,212,2,,y,,57.5
3063,212,6,,y,,61
3064,212,4.5,,y,,64
3065,212,5,,y,,70
3066,212,4.5,,y,,72
3067,212,4,,y,,76
3068,212,59,,,,77.5
3069,212,4.5,,y,,81
3070,212,0,,,,87
3071,212,39,,,,88
3072,212,3,,y,,88
3073,212,43,,,,89
3074,212,0,,,,89
3075,212,19.5,,y,,92.5
3076,212,31,,,,95
3077,212,42,,,,95
